id,name,type,debut_year
AA,Andrea Kimi Antonelli,2,2025
AA2,Alexander Albon,2,2019
AP,Alpine Academy,1,
CL,Charles Leclerc,2,2018
CS,Carlos Sainz,2,2015
EO,Esteban Ocon,2,2016
FA,Fernando Alonso,2,2001
FC,Franco Colapinto,2,2025
FDA,Ferrari Driver Academy,1,
GB,Gabriel Bortoleto,2,2025
GR,George Russell,2,2019
IH,Isack Hadjar,2,2025
LH,Lewis Hamilton,2,2007
LL,Liam Lawson,2,2023
LN,Lando Norris,2,2019
LS,Lance Stroll,2,2017
MCL,McLaren Driver Developement Programm,1,
MGP,Mercedes Junior Team,1,
MV,Max Verstappen,2,2015
NH,Nico Hülkenberg,2,2010
OB,Oliver Bearman,2,2025
OP,Oscar Piastri,2,2023
PG,Pierre Gasly,2,2017
RBR,Red Bull Junior Team,1,
SA,Sauber Academy,1,
U,unabhängig,1,
WDA,Williams Driver Academy,1,
YT,Yuki Tsunoda,2,2021
